INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
ID	名称$1$	所需等级	最高等级	升级需求和消耗表	操作时间基数	工具ID	工具ID2	辅助平台的有效距离	辅助平台ID	操作动作ID	图标	对应动作表现工具编号（Itemvisuallocator)	技能说明$1$	是否有合成界面	进度条显示的字$1$	消耗活力还是精力（0表示不消耗活力精力，1表示消耗活力，2表示消耗精力，3表示消耗活力和精力）	开始时播放的声音	是否循环 0：不循环 1：循环	成功时播放的声音	失败时播放的声音
1	烹飪	-1	10	pengren.txt	5000	-1	-1	5	-1	118	CommonLiveSkill_6	-1	民以食為天，食物是恢復體力和內力的主要手段。魚，肉，糧食都可以用來製作美味。	1	烹飪	1	250	0	-1	-1
2	制藥	15	10	zhiyao.txt	5000	-1	-1	5	1	118	CommonLiveSkill_10	-1	不想生病？想變得強壯？拿上藥草到煉丹爐旁煉一爐丹藥吧。	1	制藥	1	252	0	-1	-1
3	鑲嵌	-1	10	putongshenghuo.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill_4	-1	為你的裝備附加上絢麗又實用的寶石，能提高你的戰鬥力哦。	2	鑲嵌	2	253	1	-1	-1
4	鑄造	20	10	zhuzao.txt	5000	-1	-1	5	2	118	CommonLiveSkill_7	-1	工欲善其事，必先利其器，用礦石在打造臺上打造出你喜愛的利刃吧。	1	鑄造	1	253	1	-1	-1
5	縫紉	25	10	fengren.txt	5000	-1	-1	5	4	118	CommonLiveSkill_5	-1	羽衣霓裳，銀甲金鎧，只要你喜歡就拿上紡織品去制衣臺上動手吧。	1	縫紉	1	254	0	-1	-1
6	工藝	25	10	gongyi.txt	5000	-1	-1	5	5	118	CommonLiveSkill_11	-1	各種精美的飾品，小巧的玩意，你都可以做，不過你最好先找一個工藝臺。	1	工藝	2	252	1	-1	-1
7	採礦	20	10	caikuang.txt	6000	10102012	-1	3	-1	142	CommonLiveSkill_3	363	閃亮的礦石在野外埋藏，用你的礦鋤去挖掘吧。	-1	採礦	1	248	1	-1	-1
8	采藥	15	10	caiyao.txt	6000	10102013	-1	3	-1	121	CommonLiveSkill_2	361	在野外你會發現很多藥草，拿上你的采藥鐮去採集吧。	-1	采藥	1	249	1	-1	-1
9	釣魚	10	10	diaoyu.txt	41000	10100031	10100032	3	-1	119	CommonLiveSkill_9	362	拿上你的魚竿到水邊去吧，魚在等你。	-1	釣魚	0	251	0	-1	-1
10	種植	10	10	zhongzhi.txt	5000	-1	-1	3	-1	120	CommonLiveSkill_1	-1	在農田中可以播種和收穫。	-1	收割	1	249	1	-1	-1
11	開光	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_1	-1	藥材可以在佛印的加持下變得神奇。	1	開光	1	252	0	-1	-1
12	聖火術	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_2	-1	火丹可以將藥草熔煉成更加強烈的物品。	1	聖火術	1	252	0	-1	-1
13	釀酒	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_3	-1	以酒為原料，加入草藥和蟲子製成藥酒。	1	釀酒	1	252	0	-1	-1
14	玄冰術	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_4	-1	千年的冰晶吸收藥材的精華變得更加神奇。	1	玄冰術	2	252	0	-1	-1
15	制蠱	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_9	-1	給毒蟲吃下藥材，它們會幫你做事的。	1	制蠱	2	252	0	-1	-1
16	制毒	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_5	-1	很難想像救人的藥草和害人的毒蟲混合在一起會造出什麼東西。	1	制毒	2	252	0	-1	-1
17	制符	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_6	-1	用藥汁在紙上畫符，會有你意想不到的功效哦。	1	制符	2	252	0	-1	-1
18	煉丹	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_7	-1	這些丹藥的作用是常規藥品所難以匹敵的。	1	煉丹	1	252	0	-1	-1
19	奇門遁甲	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_8	-1	藥汁畫成的畫，有神奇的作用。	1	奇門遁甲	1	252	0	-1	-1
20	工程學	10	99	assistant.txt	5000	-1	-1	-1	-1	118	Food_1	-1	暫無。	1	工程學	1	-1	0	-1	-1
21	驅鬼	10	200	assistant.txt	5000	-1	-1	1	-1	132	Food_1	-1	暫無。	-1	驅鬼	1	-1	0	-1	-1
22	挖寶	10	100	assistant.txt	5000	-1	-1	1	-1	132	Food_1	-1	古人的寶藏在哪里？挖寶技能教會你尋寶、挖寶。	-1	挖寶	1	-1	0	-1	-1
23	跑商	10	50	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	想讓自己富甲天下嗎？那就來做個精明的商人吧。	-1	跑商	1	-1	0	-1	-1
24	殺價	10	1	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	殺的就是價，低價買進幫你省錢。	-1	殺價	1	-1	0	-1	-1
25	熱賣	10	1	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	提升物品價格，你可以多賺一點哦。	-1	熱賣	1	-1	0	-1	-1
26	操作中	-1	12	assistant.txt	5000	-1	-1	2	-1	118	Food_1	-1	操作中，此技能不需要顯示，為了給任務打開物品使用。	-1	操作中	1	-1	0	-1	-1
27	藥理	10	99	yaoli.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_10	-1	輔助制藥技能，降低制藥的活力消耗。	-1	藥理	0	-1	0	-1	-1
28	養生法	10	99	yangsheng.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_11	-1	輔助烹飪技能，降低烹飪的活力消耗。	-1	養生法	0	-1	0	-1	-1
29	佛法	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_1	-1	輔助開光技能，降低開光的活力消耗，少林派獨有的生活技能。	-1	佛法	0	-1	0	-1	-1
30	采火術	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_2	-1	輔助聖火術技能，降低聖火術的活力消耗，明教獨有的生活技能。	-1	采火術	0	-1	0	-1	-1
31	蓮花落	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_3	-1	輔助釀酒技能，降低釀酒的活力消耗，丐幫獨有的生活技能。	-1	蓮花落	0	-1	0	-1	-1
32	采冰術	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_4	-1	輔助玄冰術技能，降低玄冰術的活力消耗，天山派獨有的生活技能。	-1	采冰術	0	-1	0	-1	-1
33	經脈百訣	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_9	-1	輔助製蠱技能，降低製蠱的活力消耗，天龍派獨有的生活技能。	-1	經脈百訣	0	-1	0	-1	-1
34	引蟲術	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_5	-1	輔助制毒技能，降低制毒的活力消耗，星宿派獨有的生活技能。	-1	引蟲術	0	-1	0	-1	-1
35	靈心術	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_6	-1	輔助制符技能，降低制符的活力消耗，峨嵋派獨有的生活技能。	-1	靈心術	0	-1	0	-1	-1
36	道法	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_7	-1	輔助煉丹技能，降低煉丹的活力消耗，武當派獨有的生活技能。	-1	道法	0	-1	0	-1	-1
37	六藝風骨	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_8	-1	輔助奇門盾甲技能，降低奇門遁甲的活力消耗，逍遙派獨有的生活技能。	-1	六藝風骨	0	-1	0	-1	-1
38	騎術	30	1	assistant.txt	5000	-1	-1	-1	-1	-1	RideHeader1_1	-1	騎術	-1	騎術	0	-1	0	-1	-1
39	咫尺天涯	10	3	dingweifu.txt	10000	-1	-1	-1	-1	118	Charm_4	-1	使用此技能可以製作出迅速回到特定地點的符咒。	1	咫尺天涯	1	-1	0	-1	-1
40	活血	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_12	-1	增加血上限	-2	活血	0	-1	0	-1	-1
41	養氣	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_13	-1	增加氣上限	-2	養氣	0	-1	0	-1	-1
42	強身	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_14	-1	增加活力上限	-2	強身	0	-1	0	-1	-1
43	健體	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_15	-1	增加精力上限	-2	健體	0	-1	0	-1	-1
44	修身	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_16	-1	增加活力增長速度	-2	修身	0	-1	0	-1	-1
45	塑體	10	100	assistant.txt	0	-1	-1	-1	-1	-1	MenpaiLiveSkill2_8	-1	增加精力增長速度	-2	塑體	0	-1	0	-1	-1
46	精煉	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_13	-1	精煉天鑄，神兵突成，利器飲血。	1	精煉	0	253	1	-1	-1
47	精製	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_14	-1	精製仙織，錦袍玉帶，護體神鎧。	1	精製	0	254	1	-1	-1
48	精工	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_15	-1	精工靈造，善器成形，佑主精魂。	1	精工	0	252	1	-1	-1
49	材料加工	10	1	cailiaojiagong.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill2_1	-1	使用本技能可以將縫紉、鑄造、工藝生活技能所需的各種材料加工成為可用之材。	1	材料加工	0	252	1	-1	-1
50	支援朝廷	-1	12	assistant.txt	120000	-1	-1	2	-1	118	Food_1	-1	支援朝廷	-1	支援朝廷	0	-1	0	-1	-1
51	帮会宣战采矿	-1	12	assistant.txt	15000	-1	-1	2	-1	142	Food_1	-1	帮会宣战采矿	-1	採礦	0	248	1	-1	-1
