INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT
ÎÊÌâºÅ	ÎÊÌâÄÚÈİ	Ñ¡Ïî0	Ñ¡Ïî1	Ñ¡Ïî2	Ñ¡Ïî3	Ñ¡Ïî4	Ñ¡Ïî5	´ğ°¸0	´ğ°¸1	´ğ°¸2	´ğ°¸3	´ğ°¸4	´ğ°¸5	ÎÊÌâÀàĞÍ	1=ĞÂÊÖ´ğÌâ£¬3=·ÏÆú£¬4=¿Æ¾ÙÈİÒ×ÌâÄ¿
110001	BÕn ğã ğªn v¾i thª gi¾i "Thiên Long Bát Bµ", v§y bÕn có biªt ai là tác giä bµ ti¬u thuyªt này không?	C± Long	Kim Dung	HuÏnh D¸ch	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
110002	Nghe nói bÕn biªt hªt m÷i chuy®n c± kim, v§y câu chuy®n "Thiên Long Bát Bµ" này xäy ra · th¶i ğÕi nào?	Ğ¶i Ğß¶ng	Ğ¶i T¯ng	Ğ¶i Nguyên	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
110003	Nghe kÛ nhé, khúc nhÕc này có phong cách gì?	Dân ca Tây Nam	Dân ca Giang Nam	Dân ca Tây B¡c	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
110004	M÷i ngß¶i ğ«u nói "Thiên Long Bát Bµ", v§y bÕn có biªt cøm t× này · ğâu ra không?	Thánh kinh	ĞÕo kinh	Ph§t kinh	#	#	#	-1	-1	1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
110005	Trong trò ch½i Thiên Long Bát Bµ, sau khi nh§n nhi®m vø, trên bän ğ° · góc trên bên phäi s¨ có chï dçn, v§y kı hi®u nào hi¬n th¸ trong trò ch½i mà ngß¶i c¥n tìm trong nhi®m vø?	Tam giác nhö màu xanh lá	Tam giác nhö màu vàng	Ch¤m tròn màu xanh lam	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
110006	Trong Thiên Long Bát Bµ l§p nhóm giªt quái v§t có ích lşi gì?	Tång lßşng ğ° v§t r½i ra	Tång thêm kinh nghi®m	Giäm b¾t sÑc mÕnh quái v§t	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
110007	Trong Thiên Long Bát Bµ có ba v¸ anh hùng, trong ğó ai t×ng làm bang chü Cái Bang?	Ğoàn Dñ	Tiêu Phong	Hß Trúc	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
110008	Còn nh¾ ai là ngß¶i ğ¥u tiên giao nhi®m vø và hß¾ng dçn cho bÕn không?	Tiêu Phong	Tri®u Thiên Sß 	Ğoàn Chính Thu¥n 	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
120001	Còn nh¾ ai là ngß¶i ğ¥u tiên giao nhi®m vø và hß¾ng dçn cho bÕn không?	Tiêu Phong	Tri®u Thiên Sß 	Ğoàn Chính Thu¥n 	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
120002	Tiêu Phong là ğÕi anh hùng trong võ lâm, bÕn có biªt ngß¶i con gái anh ta yêu nh¤t là ai không?	A Bích	A Châu	A TØ	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
